Age,MonthlyIncome,NumberOfTrips,Passport,CityTier,ProdTaken
25,30000,1,0,3,0
28,35000,2,0,3,0
32,40000,2,1,2,0
35,45000,3,0,2,0
38,50000,3,1,2,0
40,60000,4,1,2,0
42,65000,4,0,2,0
45,70000,5,1,2,1
48,80000,6,1,1,1
50,90000,7,1,1,1
52,100000,8,1,1,1
55,110000,9,1,1,1
30,42000,2,0,3,0
34,48000,3,0,2,0
37,52000,3,1,2,0
41,62000,4,1,2,0
44,68000,5,1,2,1
47,78000,6,1,1,1
49,88000,7,1,1,1
53,105000,8,1,1,1
27,33000,1,0,3,0
29,37000,2,0,3,0
33,46000,2,1,2,0
36,51000,3,1,2,0
39,58000,4,1,2,0
43,66000,5,1,2,1
46,75000,6,1,1,1
51,95000,7,1,1,1
54,115000,9,1,1,1
58,130000,10,1,1,1
